Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0027657	1038	250	330	664	231	276	523	391	470	339	323	338	397.28	461	333	0.719	-0.476	-2.966	0.00302028255460831	0.0360398590853937	0.009	0.0208	0.0158	0.0158	TRUE	0.1956
FBtr0307759	205	16	34	26	14	25	103	25	48	13	20	31	40.03	59	21	0.343	-1.542	-2.957	0.00310876069649736	0.0368214514942846	0.2951	0.0915	0.1622	0.1622	TRUE	0.3146
FBgn0004197	2607	1052	1081	1870	871	943	1313	1644	1540	954	1218	1156	1304.18	1499	1109	0.74	-0.435	-2.955	0.00312725043916067	0.0369912611707889	0.013	0.0153	0.0148	0.0148	TRUE	0.1887
FBgn0038145	14696	4226	4855	10297	3978	4861	7402	6604	6918	5251	5564	5958	6282.81	6975	5591	0.801	-0.32	-2.942	0.00326547928503792	0.0382705578839904	0.0034	0.0133	0.0084	0.0084	TRUE	0.0403
FBgn0266758	9357	3049	3404	7528	2828	3267	4713	4765	4850	3839	3955	4004	4354.44	4776	3933	0.823	-0.28	-2.937	0.00330938133302069	0.0386325813017238	0	0.0136	0.0063	0.0063	TRUE	0.0055
FBgn0039094	44	12	22	13	5	8	22	19	31	7	7	10	15.95	24	8	0.32	-1.645	-2.937	0.00331422748810264	0.0386385133985998	0	0.2103	0.1401	0.1401	TRUE	0.3108
FBgn0011236	4424	1608	1525	3248	1261	1598	2228	2513	2173	1656	1764	1959	2048.8	2305	1793	0.778	-0.363	-2.935	0.00333149396721374	0.0387890415241475	0.006	0.0144	0.0105	0.0105	TRUE	0.079
FBgn0263392	12649	4694	3470	8873	3407	3622	6371	7336	4944	4525	4765	4439	5396.72	6217	4576	0.736	-0.442	-2.932	0.00336937362697628	0.0391277847398667	0.0191	0.0134	0.0162	0.0162	TRUE	0.2395
FBgn0028482	182	67	75	112	48	47	92	105	107	57	67	58	80.85	101	61	0.6	-0.737	-2.931	0.00337990077189604	0.0391989273115599	0	0.0518	0.0318	0.0318	TRUE	0.0856
FBgn0034501	4917	2050	2168	3736	1644	1901	2477	3204	3089	1905	2299	2330	2550.66	2923	2178	0.745	-0.424	-2.93	0.00338597230762419	0.0392182774304404	0.0143	0.0141	0.0147	0.0147	TRUE	0.2217
FBgn0034083	3947	1444	1449	3429	1197	1275	1988	2257	2065	1749	1674	1563	1882.47	2103	1662	0.792	-0.337	-2.925	0.003442230245111	0.0397557531110983	0.0029	0.0145	0.009	0.009	TRUE	0.0486
FBgn0034221	260	96	104	190	70	61	131	150	148	97	98	75	116.46	143	90	0.635	-0.655	-2.924	0.00345022983663175	0.0397557531110983	0	0.0399	0.0267	0.0267	TRUE	0.1822
FBgn0027339	3881	1262	1059	2829	995	980	1955	1972	1509	1443	1392	1201	1578.56	1812	1345	0.742	-0.43	-2.921	0.00348982917021694	0.0401600883967988	0.014	0.0148	0.0149	0.0149	TRUE	0.2541
FBgn0015714	2747	760	946	2186	658	771	1384	1188	1348	1115	920	945	1149.88	1307	993	0.761	-0.393	-2.918	0.00352266394604197	0.0404334636177782	0.0075	0.0156	0.0121	0.0121	TRUE	0.1431
FBgn0037074	6216	2046	2077	4913	1845	2026	3131	3198	2960	2505	2580	2483	2809.47	3096	2523	0.815	-0.296	-2.918	0.00352100952532105	0.0404334636177782	5e-04	0.014	0.007	0.007	TRUE	0.0176
FBgn0036770	4741	1457	1555	3879	1277	1335	2388	2277	2216	1978	1786	1636	2046.83	2294	1800	0.785	-0.348	-2.912	0.00359073684770285	0.0410568737675858	0.0045	0.0144	0.0098	0.0098	TRUE	0.0936
FBgn0025683	9378	3035	3459	7841	2796	3234	4723	4743	4929	3998	3911	3964	4378.02	4798	3958	0.825	-0.278	-2.909	0.00362374838286435	0.0412745867598117	0	0.0136	0.0063	0.0063	TRUE	0.0068
FBgn0033483	10410	3315	3806	8288	3081	3667	5243	5181	5423	4226	4309	4495	4812.86	5282	4343	0.822	-0.283	-2.907	0.00364397319527996	0.0413990679213757	5e-04	0.0135	0.0066	0.0066	TRUE	0.0113
FBgn0037363	3719	1290	1227	2961	1019	1255	1873	2016	1748	1510	1425	1538	1685.15	1879	1491	0.794	-0.333	-2.908	0.00363969893737912	0.0413990679213757	0.0024	0.0147	0.0088	0.0088	TRUE	0.0469
FBgn0028540	321	72	122	180	63	82	162	113	174	92	88	101	121.41	150	94	0.622	-0.686	-2.904	0.00368664058829891	0.0417241521219548	0.0168	0.0388	0.0311	0.0311	TRUE	0.4077
FBgn0034160	107	42	22	51	16	14	54	66	31	26	22	17	36.07	50	22	0.441	-1.182	-2.901	0.00371499776985664	0.0419070732556951	0.0573	0.1001	0.0861	0.0861	TRUE	0.2221
FBgn0005694	2018	671	615	1486	534	632	1016	1049	876	758	747	775	870.1	980	760	0.774	-0.369	-2.898	0.00375054972982682	0.0421262880751166	0.0028	0.0165	0.0104	0.0104	TRUE	0.0985
FBgn0266084	986	362	321	716	269	319	497	566	457	365	376	391	442.01	507	377	0.745	-0.424	-2.896	0.00377529992499946	0.0423508771183504	0.003	0.02	0.013	0.013	TRUE	0.1097
FBgn0014469	2045	600	654	1606	513	561	1030	938	932	819	717	688	853.94	967	741	0.768	-0.381	-2.891	0.00384177100553924	0.042934321639069	0.0052	0.0165	0.0112	0.0112	TRUE	0.1065
FBgn0050344	1344	451	517	1105	367	456	677	705	737	563	513	559	625.69	706	545	0.775	-0.368	-2.885	0.00391363191294381	0.0436826058253014	0	0.0179	0.01	0.01	TRUE	0.0286
FBgn0026576	1807	520	567	1301	449	554	910	813	808	663	628	679	750.19	844	657	0.777	-0.364	-2.88	0.00397512451926663	0.0442580426163849	0.0023	0.017	0.0101	0.0101	TRUE	0.0612
FBgn0015288	27548	9455	11064	21784	9162	9530	13875	14776	15765	11108	12814	11681	13336.66	14805	11868	0.802	-0.319	-2.872	0.00407857903925317	0.0451839595803831	0.0046	0.0131	0.0088	0.0088	TRUE	0.0593
FBgn0034898	27	9	5	1	2	2	14	14	7	1	3	2	6.76	12	2	0.14	-2.832	-2.872	0.00407559794244895	0.0451839595803831	0	0.4788	0.3668	0.3668	TRUE	1.0836
FBgn0029893	4886	1720	1616	3251	1403	1716	2461	2688	2303	1658	1962	2103	2195.82	2484	1908	0.767	-0.382	-2.869	0.0041162622449737	0.0455447798956282	0.0095	0.0143	0.0123	0.0123	TRUE	0.1641
FBgn0042641	2734	976	1159	2079	882	996	1377	1525	1651	1060	1234	1221	1344.72	1518	1172	0.772	-0.374	-2.865	0.00416523960874938	0.0460295151304351	0.0072	0.0152	0.0115	0.0115	TRUE	0.0872
FBgn0052772	1250	403	402	921	335	392	630	630	573	470	469	480	541.81	611	473	0.773	-0.371	-2.86	0.00423330201897393	0.0467236940309799	0	0.0187	0.0101	0.0101	TRUE	0.0328
FBgn0031752	2570	893	872	2121	727	836	1294	1396	1243	1082	1017	1025	1175.93	1311	1041	0.795	-0.33	-2.857	0.0042796977790333	0.0471204056652278	0.0013	0.0155	0.0087	0.0087	TRUE	0.0363
FBgn0050046	2345	806	847	1715	735	789	1181	1260	1207	875	1028	967	1086.2	1216	957	0.785	-0.348	-2.857	0.00427982577558878	0.0471204056652278	0.0031	0.0157	0.0097	0.0097	TRUE	0.0716
FBgn0035708	2930	958	951	2392	790	901	1476	1497	1355	1220	1105	1104	1292.84	1443	1143	0.793	-0.334	-2.852	0.00434494339773128	0.0477782849920895	0.0024	0.0153	0.009	0.009	TRUE	0.0437
FBgn0039797	545	190	173	348	150	160	274	297	247	177	210	196	233.55	273	194	0.709	-0.496	-2.851	0.00436109109504106	0.0478426661115953	0.0033	0.0263	0.0172	0.0172	TRUE	0.0761
FBgn0037935	66	26	21	35	9	8	33	41	30	18	13	10	24.01	35	14	0.404	-1.306	-2.848	0.00440002392884217	0.0482054282093447	0	0.144	0.1004	0.1004	TRUE	0.6258
FBgn0016926	1916	599	713	1577	552	583	965	936	1016	804	772	715	867.98	972	764	0.787	-0.346	-2.845	0.00443944597500075	0.0483991986527927	0.0014	0.0165	0.0094	0.0094	TRUE	0.037
FBgn0022382	1975	557	574	1499	456	449	995	870	818	764	638	550	772.6	894	651	0.729	-0.457	-2.839	0.00452519425019426	0.0492135594462518	0.0168	0.0169	0.0172	0.0172	TRUE	0.2914
FBgn0035644	778	254	304	488	229	260	392	397	433	249	320	319	351.63	407	296	0.722	-0.47	-2.836	0.00456774508783777	0.0496157384114281	0.0097	0.0218	0.0166	0.0166	TRUE	0.2526
